,grid_type,number_lights,height,width,mean,std,min,1,5,10,90,95,99,max
177,ogrid,36,3,10.0,132.3373125191307,22.303622368101536,58.0,81.0,94.0,102.0,161.0,167.0,178.0,197.0
178,ogrid,36,3,12.5,102.89552086521783,12.469487351994351,60.0,74.0,82.0,87.0,119.0,123.0,132.0,145.0
179,ogrid,36,3,15.0,79.15702479338843,9.291146836318141,44.0,59.0,64.0,67.0,91.0,95.0,101.0,117.0
180,ogrid,36,5,7.5,108.23466993163963,26.29082452597114,37.0,54.0,66.0,74.0,144.0,152.0,164.0,190.0
181,ogrid,36,5,10.0,92.39985715743292,16.384635359684125,40.0,56.0,65.0,71.0,114.0,119.0,129.0,147.0
182,ogrid,36,5,12.5,76.58983777165595,10.88991556338529,37.0,52.0,59.0,63.0,91.0,94.0,102.0,118.0
183,ogrid,36,5,15.0,62.496888072645646,8.48983833005938,31.0,43.0,49.0,52.0,73.0,77.0,83.0,98.0
184,ogrid,36,10,7.5,47.299357208448114,8.613654862592854,20.0,29.0,34.0,36.0,59.0,62.0,68.0,82.0
185,ogrid,36,10,10.0,43.294561779410266,7.602408342435066,16.0,27.0,31.0,34.0,53.0,56.0,61.0,73.0
186,ogrid,36,10,12.5,39.08488929701051,6.846900774048137,15.0,24.0,28.0,30.0,48.0,51.0,56.0,70.0
187,ogrid,36,10,15.0,34.80665238240996,6.231190295864988,12.0,21.0,25.0,27.0,43.0,46.0,50.0,60.0
188,ogrid,36,15,7.5,25.013365983062954,5.181623729356191,7.0,14.0,17.0,19.0,32.0,34.0,38.0,47.0
189,ogrid,36,15,10.0,23.829303132333436,5.107131282209262,7.0,13.0,16.0,17.0,30.0,33.0,37.0,45.0
190,ogrid,36,15,12.5,22.43669013365983,4.898156403405554,8.0,12.0,15.0,16.0,29.0,31.0,35.0,44.0
191,ogrid,36,15,15.0,20.823895520865218,4.685497488258817,6.0,11.0,13.0,15.0,27.0,29.0,33.0,41.0
192,ogrid,49,1,7.5,353.6048362411999,143.9990599464415,39.0,74.0,109.0,134.0,515.0,530.0,556.0,600.0
193,ogrid,49,1,10.0,279.73655749413325,37.71155513662026,152.0,184.0,217.0,233.0,329.0,342.0,368.0,411.0
194,ogrid,49,1,12.5,195.58004285277013,35.28545169549581,121.0,140.0,151.0,157.0,249.0,266.0,291.0,322.0
195,ogrid,49,1,15.0,139.33772064075094,39.261211452134624,71.0,88.0,96.0,101.0,201.0,224.0,251.0,284.0
196,ogrid,49,2,7.5,281.1251913070095,98.06591518502259,62.0,91.0,126.0,149.0,409.0,425.0,448.0,489.0
197,ogrid,49,2,10.0,227.17049280685643,34.16092041314298,113.0,146.0,167.0,179.0,269.0,277.0,292.0,324.0
198,ogrid,49,2,12.5,169.46882971125396,15.710557693675302,116.0,133.0,144.0,149.0,190.0,195.0,205.0,227.0
199,ogrid,49,2,15.0,126.18579736761555,12.00242579549598,85.0,99.0,107.0,111.0,142.0,146.0,155.0,172.0
200,ogrid,49,3,7.5,225.89970411182532,69.89480807916287,63.0,90.0,116.0,134.0,321.0,335.0,356.0,407.0
201,ogrid,49,3,10.0,186.66299357208447,31.209750927894078,86.0,114.0,133.0,144.0,226.0,234.0,247.0,276.0
202,ogrid,49,3,12.5,146.10998877665546,16.143523433626005,84.0,109.0,120.0,125.0,167.0,172.0,183.0,204.0
203,ogrid,49,3,15.0,112.75410672380369,11.466000886507535,70.0,87.0,94.0,98.0,127.0,132.0,140.0,161.0
204,ogrid,49,5,7.5,151.4027140087746,36.450319645312035,54.0,77.0,94.0,104.0,201.0,211.0,228.0,262.0
205,ogrid,49,5,10.0,129.99081726354453,22.012947497325758,62.0,82.0,93.0,101.0,158.0,166.0,178.0,202.0
206,ogrid,49,5,12.5,108.2095704519947,14.237027211149073,59.0,76.0,85.0,90.0,127.0,131.0,140.0,168.0
